code;Bahnhof_Haltestelle;Bezugsjahr;Kanton;Eigner;DTV;DWV;DNWV;Bemerkung;Bemerkungen;Note;Bemerkungen;Geoposition;lod
AD;Aadorf;2018;TG;SBB;1700;2000;1000.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.4881181565,8.90330135169;http://lod.opentransportdata.swiss/didok/8506013
AA;Aarau;2018;AG;SBB;37900;44800;22700.0;Ohne AVA.;Sans AVA.;Senza AVA.;Without AVA.;47.3913595142,8.0512737187;http://lod.opentransportdata.swiss/didok/8502113
ABO;Aarburg-Oftringen;2018;AG;SBB;2500;3000;1300.0;;;;;47.3202684695,7.90822260672;http://lod.opentransportdata.swiss/didok/8502000
AAT;Aathal;2018;ZH;SBB;740;800;610.0;;;;;47.3359591338,8.76562513535;http://lod.opentransportdata.swiss/didok/8503124
ACLA;Acla da Fontauna;2018;GR;MGB;90;90;80.0;;;;;46.6971738226,8.84579085043;http://lod.opentransportdata.swiss/didok/8505180
AE;Aesch;2018;BL;SBB;2000;2400;1300.0;;;;;47.4677446623,7.60306821023;http://lod.opentransportdata.swiss/didok/8500117
AF;Affoltern am Albis;2018;ZH;SBB;6800;8100;4000.0;;;;;47.2760703624,8.44659499502;http://lod.opentransportdata.swiss/didok/8502224
AIG;Aigle;2018;VD;CFF;6800;7700;5000.0;Ohne TPC.;Sans TPC.;Senza TPC.;Without TPC.;46.3168554186,6.96368321186;http://lod.opentransportdata.swiss/didok/8501400
AI;Airolo;2018;TI;FFS;420;370;510.0;;;;;46.5275259578,8.6086197556;http://lod.opentransportdata.swiss/didok/8505201
ALL;Allaman;2018;VD;CFF;3400;4100;1700.0;;;;;46.4757535208,6.39969707975;http://lod.opentransportdata.swiss/didok/8501035
ALGR;Alp Grüm;2018;GR;RhB;410;440;340.0;;;;;46.3747499936,10.031140002;http://lod.opentransportdata.swiss/didok/8509357
ADF;Alpnach Dorf;2018;OW;ZB;1200;1400;770.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;46.9405906483,8.27534492811;http://lod.opentransportdata.swiss/didok/8508316
