Didok-Nummer;service;Periode von;Periode bis;von 1;bis2;von2;bis3;von3;bis3;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;Oeffnungsdauer;Dauer Mo-Fr;Dauer Sa;Dauer So;Unternehmung;BPUIC;Name Haltestelle;Abkuerzung Bahnhof;lod;Geoposition;Transportunternehmung (Nummer);meteo;PLZ
10;Aufgabezeiten Fluggepäck nach Zürich Flughafen;2022-01-01;2099-12-31;08:00;18:45;;;;;1;1;1;1;1;0;0;10.45 Std/Min.;53.45 Std/Min.;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501,7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Geldwechsel;2021-03-01;2099-12-31;08:00;19:00;;;;;1;1;1;1;1;0;0;11.0 Std/Min.;55.0 Std/Min.;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501,7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
10;Gepäckaufbewahrung;2022-01-01;2099-12-31;08:00;19:00;;;;;1;1;1;1;1;0;0;11.0 Std/Min.;55.0 Std/Min.;;;SBB;8500010;Basel SBB;BS;http://lod.opentransportdata.swiss/didok/8500010;47.5474120550501,7.589562790156525;11;https://meteo.sbb.ch/?didok=8500010;4051
23;Geldwechsel;2020-05-11;2099-12-31;08:00;17:00;;;;;0;0;0;0;0;1;0;9.0 Std/Min.;45.0 Std/Min.;;;SBB;8500023;Liestal;LST;http://lod.opentransportdata.swiss/didok/8500023;47.48446117213494,7.73136748070282;11;https://meteo.sbb.ch/?didok=8500023;4410
26;Geldwechsel;2021-01-09;2022-09-30;08:30;12:00;13:00;16:00;;;0;0;0;0;0;1;0;6.30 Std/Min.;32.30 Std/Min.;;;SBB;8500026;Sissach;SIS;http://lod.opentransportdata.swiss/didok/8500026;47.4627541168619,7.812027570472961;11;https://meteo.sbb.ch/?didok=8500026;4450
100;Billette, Abonnemente, Freizeitangebote;2022-01-01;2099-12-31;07:20;12:20;13:50;18:00;;;1;1;1;1;1;0;0;9.10 Std/Min.;45.50 Std/Min.;;;CFF;8500100;Tavannes;TA;http://lod.opentransportdata.swiss/didok/8500100;47.21984466031046,7.201645389619083;11;https://meteo.sbb.ch/?didok=8500100;2710
109;Billette, Abonnemente, Freizeitangebote;2022-01-01;2099-12-31;07:30;18:30;;;;;1;1;1;1;1;0;0;11.0 Std/Min.;55.0 Std/Min.;;;CFF;8500109;Delémont;DMT;http://lod.opentransportdata.swiss/didok/8500109;47.362012700093885,7.350063323401276;11;https://meteo.sbb.ch/?didok=8500109;2800
109;Billette, Abonnemente, Freizeitangebote;2022-01-01;2099-12-31;08:00;12:00;13:30;17:00;;;0;0;0;0;0;0;1;7.30 Std/Min.;37.30 Std/Min.;;;CFF;8500109;Delémont;DMT;http://lod.opentransportdata.swiss/didok/8500109;47.362012700093885,7.350063323401276;11;https://meteo.sbb.ch/?didok=8500109;2800
113;Western Union;2022-01-01;2099-12-31;09:00;12:30;13:30;18:00;;;1;1;1;1;1;0;0;8.0 Std/Min.;40.0 Std/Min.;;;SBB;8500113;Laufen;LFN;http://lod.opentransportdata.swiss/didok/8500113;47.419346483524734,7.502636130936873;11;https://meteo.sbb.ch/?didok=8500113;4242
126;Fundservice;2022-01-01;2099-12-31;07:30;18:00;;;;;1;1;1;1;1;0;0;10.30 Std/Min.;52.30 Std/Min.;;;CFF;8500126;Porrentruy;POR;http://lod.opentransportdata.swiss/didok/8500126;47.42091638308304,7.080077285085161;11;https://meteo.sbb.ch/?didok=8500126;2900
